ds,yhat
2026-03-01,15.680011424787452
2026-03-02,23.15484685460092
2026-03-03,24.53521995000051
2026-03-04,28.484373582613816
2026-03-05,10.734382781059537
2026-03-06,14.8784741136219
2026-03-07,3.518964812702503
2026-03-08,29.969444102832533
2026-03-09,37.44427941371487
2026-03-10,38.82465237696177
2026-03-11,42.77380591243436
2026-03-12,25.02381501529097
2026-03-13,29.167906257646663
2026-03-14,17.80839690208981
2026-03-15,44.258876150335404
2026-03-16,51.733711389510226
2026-03-17,53.114084337277646
2026-03-18,57.04875653692572
2026-03-19,39.28419873026216
2026-03-20,43.14526259083764
2026-03-21,30.842117466782625
2026-03-22,55.485655724045614
2026-03-23,60.047578276629274
2026-03-24,56.70435598778507
2026-03-25,55.585027692660674
2026-03-26,32.76655496702351
2026-03-27,31.842164407455694
2026-03-28,15.414173212864348
2026-03-29,36.796170632780616
2026-03-30,39.20252407166468
2026-03-31,35.514415196807676
2026-04-01,34.395086901662694
2026-04-02,11.576614176067144
2026-04-03,10.652223616519127
2026-04-04,-5.775767578111395
2026-04-05,15.606229841777697
2026-04-06,18.012583280766577
